iter	Logloss	Accuracy
0	0.6819056191	0.6342285109
1	0.6724207259	0.6441067475
2	0.6648063802	0.6471508326
3	0.6586375845	0.6483299644
4	0.6526355433	0.6507002599
5	0.6483288552	0.650098662
6	0.6446412157	0.6496655116
7	0.6409980729	0.6491120416
8	0.6382409303	0.6486548272
9	0.6361122899	0.6494248725
10	0.6339960126	0.6494128405
11	0.6321828625	0.6505679084
12	0.6305396392	0.6510612186
13	0.6285839306	0.6524328617
14	0.6266808952	0.654562518
15	0.6251245955	0.6558499374
16	0.6236939987	0.657353932
17	0.6227299561	0.657353932
18	0.6217839967	0.6582442969
19	0.6207111818	0.6592549812
20	0.6200876871	0.6593993647
21	0.619171026	0.659868611
22	0.6184480058	0.6603378573
23	0.6178823096	0.6605183367
24	0.6173749599	0.6605664645
25	0.6168292467	0.6603619213
26	0.6162700593	0.6606025604
27	0.6158692773	0.66072288
28	0.6154455574	0.6611079026
29	0.6146200974	0.6616493406
30	0.6143260779	0.6616132448
31	0.6139773715	0.6617215324
32	0.6136797568	0.6616974685
33	0.6133479281	0.6619862354
34	0.6126897538	0.6628405044
35	0.6123585509	0.6634541342
36	0.6120371379	0.6638030609
37	0.6117773587	0.664067764
38	0.6115421859	0.664055732
39	0.6113430588	0.6642001155
40	0.6108429658	0.6647776494
41	0.610560788	0.665174704
42	0.6103193099	0.6650062566
43	0.6100114073	0.6652107999
44	0.609825147	0.665463471
45	0.6094320089	0.6655958225
46	0.6092642662	0.6656439503
47	0.6089710781	0.6659688132
48	0.6087053263	0.6665102512
49	0.6084999352	0.6669554336
50	0.6083206459	0.6675329676
51	0.6079741165	0.6672442006
52	0.6077338406	0.6676532871
53	0.6075172245	0.6677615747
54	0.6073600942	0.6677134469
55	0.6071852099	0.6677736067
56	0.6070273262	0.6681225334
57	0.6068977291	0.6681105015
58	0.6067586523	0.6684233324
59	0.6065963781	0.6684714602
60	0.6064243072	0.6684353643
61	0.6062720133	0.6687000674
62	0.6059813007	0.6688925787
63	0.6058720344	0.6688444509
64	0.6057602244	0.6691572817
65	0.6054993176	0.6689407065
66	0.6053635521	0.6693257291
67	0.6052232073	0.6697588796
68	0.6051221287	0.6697348157
69	0.6049658454	0.6699754548
70	0.6048094711	0.6702882857
71	0.6046798043	0.6702642218
72	0.6045485945	0.670204062
73	0.6042818092	0.6704447011
74	0.6041598684	0.6704086053
75	0.6040736219	0.6704567331
76	0.6039711291	0.6703965733
77	0.6038602745	0.6707936279
78	0.6036668095	0.6712869381
79	0.6035639864	0.6712147464
80	0.6034562642	0.6712749062
81	0.6032497817	0.6716599288
82	0.6031479002	0.6716599288
83	0.6030674726	0.6716238329
84	0.6028506438	0.6719727596
85	0.6027898784	0.6719968236
86	0.6026460026	0.6719366638
87	0.6025782042	0.6720930792
88	0.6024601243	0.6721291751
89	0.6024050842	0.672141207
90	0.6023038234	0.6724059101
91	0.6022000013	0.6724781018
92	0.6021029753	0.6724059101
93	0.6020272952	0.6725021658
94	0.6019210153	0.6725021658
95	0.6018304313	0.6724540379
96	0.6017428681	0.672718741
97	0.60165253	0.6726585812
98	0.6015702868	0.6726345173
99	0.6014951946	0.6729232842
100	0.601351353	0.6727548368
101	0.6012032967	0.6730676677
102	0.601143767	0.6732240832
103	0.6010597899	0.673272211
104	0.6009724534	0.6732842429
105	0.6009246502	0.6734286264
106	0.600846338	0.6734526903
107	0.6007347163	0.6736331697
108	0.6006533362	0.673560978
109	0.6006034392	0.6734286264
110	0.6005265796	0.6734647223
111	0.6004359638	0.6737294254
112	0.6003513587	0.6738016171
113	0.6002601209	0.6740542882
114	0.6001829044	0.6740061604
115	0.6001350123	0.6739339686
116	0.6000350978	0.6738497449
117	0.5999512227	0.6740181923
118	0.5997375472	0.6742227356
119	0.5996732503	0.6740542882
120	0.5995771793	0.6745596304
121	0.5995229516	0.6745957262
122	0.5994412638	0.6748243334
123	0.5993265583	0.6748724613
124	0.5992462702	0.6748123015
125	0.5991404871	0.6748243334
126	0.5990571944	0.6748844932
127	0.5989634042	0.6750168447
128	0.5988182232	0.6750770045
129	0.5987140442	0.675221388
130	0.5985905895	0.6753056117
131	0.5984106444	0.6756665704
132	0.5983404149	0.6753537395
133	0.5982497836	0.6755823467
134	0.598202833	0.6758831456
135	0.5981052206	0.6759072095
136	0.5980508158	0.6759794013
137	0.5979643333	0.6761237848
138	0.5978806358	0.6760876889
139	0.5977783087	0.6763162961
140	0.5976805527	0.67634036
141	0.5975824173	0.6764967754
142	0.5975009645	0.676352392
143	0.5973950045	0.6765930311
144	0.597293728	0.6768457022
145	0.5971910355	0.6770622774
146	0.59709343	0.6773149485
147	0.5970071583	0.6773751083
148	0.5969473899	0.6773510444
149	0.5968783124	0.6775796516
150	0.5967880789	0.6775916835
151	0.5967229942	0.6776277794
152	0.5965876919	0.6778082587
153	0.5964956869	0.6778684185
154	0.596436636	0.6778563866
155	0.5963399767	0.6780368659
156	0.5962025313	0.6782053133
157	0.5961239758	0.6781571855
158	0.5960258372	0.678012802
159	0.5959275867	0.6783256329
160	0.5958429905	0.678301569
161	0.5957559385	0.6783737607
162	0.5956575245	0.6784579844
163	0.5955510861	0.6784940803
164	0.5954756069	0.6785301761
165	0.5954173081	0.6787467514
166	0.5953660077	0.6788069112
167	0.5952811919	0.6790355183
168	0.5952099844	0.6790956781
169	0.5951794139	0.6791678699
170	0.5951025646	0.6792761575
171	0.5949959587	0.6792641255
172	0.5948614899	0.679420541
173	0.5947733878	0.6795288286
174	0.5947173116	0.6795649244
175	0.5945940283	0.6797454038
176	0.5945341176	0.6798296275
177	0.594445594	0.6798536914
178	0.5943711036	0.6797814997
179	0.5942960059	0.6799379151
180	0.5942055164	0.6801063625
181	0.5941387563	0.680250746
182	0.5940473855	0.680238714
183	0.5939766028	0.6804432573
184	0.5938880348	0.6805034171
185	0.5938304778	0.6803951295
186	0.5937699447	0.6805034171
187	0.5937026497	0.6805395129
188	0.5936258984	0.6807320243
189	0.593550719	0.680816248
190	0.593467749	0.6805996727
191	0.5933984274	0.6807440562
192	0.5933413192	0.6806598325
193	0.5932519255	0.6806598325
194	0.5931789441	0.6806117047
195	0.5931387544	0.6805996727
196	0.5930952729	0.6805756088
197	0.5930136062	0.6805515449
198	0.5929386529	0.680792184
199	0.5928783562	0.6808403119
200	0.5928074409	0.6809004717
201	0.5927366135	0.6813095582
202	0.5926539538	0.6812493984
203	0.5925773751	0.6815381654
204	0.5924754188	0.6815622293
205	0.592430221	0.6816825488
206	0.5923680462	0.6817908365
207	0.5923282674	0.6818630282
208	0.5922781009	0.6818630282
209	0.5921886432	0.6820194436
210	0.5921399492	0.6819592839
211	0.5920674802	0.682187891
212	0.5920064821	0.6822600828
213	0.5919343802	0.6823443065
214	0.5918475561	0.6822961787
215	0.5917919602	0.68248869
216	0.5917350532	0.6824525941
217	0.5916795144	0.6825608817
218	0.5915930073	0.6825849456
219	0.5915502979	0.6825127539
220	0.5914752696	0.6827293291
221	0.5914187079	0.6827894889
222	0.5913517497	0.6828015208
223	0.5912855913	0.6826210415
224	0.5911660387	0.6831624795
225	0.5910982578	0.6831624795
226	0.5910048484	0.6829940321
227	0.5909596713	0.6829940321
228	0.5908946256	0.6830060641
229	0.5908159471	0.6831023198
230	0.5907555076	0.6832346713
231	0.5906525504	0.6829098085
232	0.590585076	0.6832226393
233	0.590542729	0.6830902878
234	0.5904904853	0.6831624795
235	0.5903525253	0.6834151506
236	0.5902992979	0.683607662
237	0.5901901221	0.6835114063
238	0.5901279099	0.6834632785
239	0.5900748572	0.6834753104
240	0.5900210696	0.6833790548
241	0.5899505269	0.6834271826
242	0.5899023723	0.6834151506
243	0.5898558773	0.6834512465
244	0.5897856574	0.6836437578
245	0.5897374919	0.6836798537
246	0.5896019338	0.6839084609
247	0.5895490472	0.6838122052
248	0.5894693459	0.6839926846
249	0.5894258489	0.6839686207
250	0.589381695	0.6840769083
251	0.5893341106	0.6841009722
252	0.5892664027	0.684425835
253	0.5892158675	0.6844980268
254	0.5891603048	0.6845100587
255	0.5890877638	0.6844017711
256	0.5890309889	0.6843656752
257	0.5889720316	0.684425835
258	0.5889112498	0.6846303783
259	0.5888636652	0.68470257
260	0.5888083199	0.6849071133
261	0.5887210591	0.6847988257
262	0.5886650374	0.6848830494
263	0.5886088359	0.6847867937
264	0.5885338129	0.6847627298
265	0.5884819625	0.6849071133
266	0.5884530083	0.6848950813
267	0.5884052785	0.6849311772
268	0.5883651093	0.6849672731
269	0.5882609816	0.6850996246
270	0.5881989718	0.68525604
271	0.5881357621	0.6853161998
272	0.5880884784	0.6852319761
273	0.5879579365	0.685556839
274	0.5878995739	0.6856651266
275	0.5878626798	0.6856651266
276	0.587825491	0.6857734142
277	0.58777141	0.6856891905
278	0.5877263356	0.6858696698
279	0.5876806762	0.6859418616
280	0.5876469927	0.6860381172
281	0.5875662898	0.6862065646
282	0.5875351342	0.6862787564
283	0.5874913547	0.6862787564
284	0.5874579896	0.6862667244
285	0.5874247453	0.6862667244
286	0.5873819622	0.6863389162
287	0.587344655	0.6863028203
288	0.5872910705	0.6863509481
289	0.5872457773	0.6864592357
290	0.5871385299	0.6862306285
291	0.5870720705	0.6864231399
292	0.5870162973	0.6865915873
293	0.5869671897	0.6866998749
294	0.5868912216	0.686663779
295	0.5868335836	0.6866998749
296	0.5867477566	0.6867840986
297	0.586706812	0.686952546
298	0.5866581046	0.6867720666
299	0.5866091798	0.6869645779
300	0.5865361049	0.6867359707
301	0.5864781172	0.6868562903
302	0.5864316118	0.6870247377
303	0.5863790553	0.6870969294
304	0.586333978	0.6872413129
305	0.5863231801	0.6872894408
