iter	Passed	Remaining
0	217	108283
1	279	69490
2	340	56396
3	390	48393
4	452	44811
5	517	42583
6	576	40617
7	636	39120
8	694	37899
9	751	36825
10	808	35951
11	870	35400
12	928	34792
13	985	34220
14	1045	33811
15	1110	33602
16	1177	33460
17	1239	33202
18	1310	33186
19	1378	33091
20	1452	33120
21	1521	33063
22	1581	32803
23	1644	32623
24	1707	32434
25	1768	32247
26	1825	31980
27	1885	31789
28	1943	31570
29	2004	31396
30	2064	31228
31	2130	31159
32	2195	31069
33	2254	30901
34	2327	30922
35	2412	31091
36	2496	31246
37	2553	31049
38	2620	30970
39	2681	30841
40	2771	31027
41	2856	31152
42	2933	31172
43	3000	31099
44	3073	31071
45	3134	30938
46	3226	31095
47	3297	31047
48	3369	31014
49	3435	30915
50	3494	30769
51	3554	30623
52	3615	30490
53	3682	30413
54	3742	30281
55	3800	30132
56	3866	30047
57	3962	30193
58	4054	30308
59	4118	30205
60	4188	30141
61	4254	30058
62	4314	29926
63	4373	29796
64	4439	29711
65	4498	29579
66	4573	29555
67	4639	29476
68	4706	29399
69	4765	29273
70	4830	29185
71	4893	29088
72	4961	29023
73	5018	28893
74	5083	28807
75	5149	28729
76	5207	28608
77	5273	28528
78	5331	28410
79	5391	28305
80	5458	28233
81	5517	28126
82	5588	28075
83	5647	27968
84	5705	27858
85	5769	27775
86	5827	27661
87	5890	27577
88	5947	27463
89	6013	27395
90	6078	27321
91	6150	27278
92	6226	27250
93	6292	27177
94	6363	27130
95	6461	27192
96	6544	27189
97	6617	27146
98	6701	27143
99	6779	27119
100	6884	27196
101	6960	27159
102	7042	27142
103	7129	27148
104	7198	27079
105	7268	27015
106	7372	27077
107	7464	27091
108	7544	27063
109	7626	27039
110	7694	26965
111	7779	26950
112	7869	26951
113	7979	27017
114	8050	26950
115	8132	26922
116	8213	26885
117	8282	26813
118	8342	26710
119	8408	26626
120	8498	26620
121	8565	26537
122	8631	26456
123	8722	26450
124	8816	26448
125	8931	26510
126	9006	26451
127	9093	26427
128	9199	26458
129	9259	26352
130	9342	26314
131	9428	26284
132	9500	26216
133	9587	26185
134	9691	26203
135	9778	26171
136	9859	26125
137	9929	26046
138	10033	26058
139	10103	25979
140	10191	25947
141	10311	25996
142	10378	25910
143	10438	25805
144	10548	25824
145	10620	25751
146	10694	25680
147	10759	25589
148	10824	25499
149	10891	25412
150	10981	25380
151	11109	25434
152	11182	25361
153	11254	25286
154	11360	25286
155	11438	25223
156	11500	25124
157	11573	25052
158	11670	25028
159	11784	25042
160	11849	24949
161	11925	24880
162	12008	24828
163	12071	24732
164	12135	24637
165	12199	24545
166	12282	24490
167	12348	24402
168	12407	24300
169	12491	24248
170	12565	24175
171	12630	24085
172	12696	23998
173	12788	23960
174	12869	23899
175	12932	23808
176	13000	23724
177	13084	23669
178	13165	23609
179	13234	23527
180	13307	23453
181	13373	23366
182	13432	23268
183	13497	23179
184	13578	23120
185	13672	23081
186	13748	23012
187	13825	22945
188	13891	22858
189	13958	22773
190	14017	22677
191	14085	22596
192	14150	22508
193	14209	22412
194	14283	22340
195	14380	22304
196	14484	22278
197	14557	22203
198	14625	22122
199	14701	22052
200	14777	21982
201	14847	21904
202	14913	21819
203	14980	21736
204	15056	21666
205	15139	21607
206	15222	21547
207	15301	21481
208	15373	21404
209	15431	21309
210	15504	21235
211	15568	21149
212	15662	21104
213	15742	21039
214	15812	20960
215	15874	20872
216	15939	20787
217	16008	20708
218	16068	20617
219	16135	20536
220	16213	20468
221	16306	20420
222	16381	20348
223	16455	20275
224	16552	20230
225	16622	20153
226	16706	20092
227	16774	20011
228	16849	19939
229	16950	19898
230	17041	19845
231	17109	19764
232	17175	19681
233	17245	19603
234	17311	19521
235	17371	19432
236	17439	19352
237	17499	19264
238	17565	19182
239	17632	19101
240	17709	19032
241	17792	18968
242	17865	18894
243	17929	18811
244	17991	18725
245	18059	18646
246	18121	18561
247	18194	18487
248	18268	18415
249	18336	18336
250	18401	18254
251	18468	18174
252	18531	18092
253	18599	18014
254	18669	17937
255	18746	17868
256	18839	17813
257	18899	17727
258	18966	17647
259	19033	17569
260	19100	17490
261	19160	17405
262	19227	17326
263	19286	17241
264	19353	17162
265	19414	17078
266	19480	16999
267	19540	16915
268	19605	16835
269	19669	16755
270	19727	16669
271	19794	16592
272	19870	16522
273	19940	16447
274	20016	16377
275	20088	16303
276	20158	16228
277	20224	16150
278	20289	16071
279	20356	15994
280	20421	15915
281	20479	15831
282	20544	15753
283	20604	15671
284	20669	15592
285	20732	15513
286	20796	15434
287	20857	15353
288	20914	15269
289	20978	15191
290	21060	15125
291	21146	15063
292	21208	14983
293	21279	14909
294	21343	14832
295	21419	14761
296	21489	14688
297	21557	14612
298	21625	14537
299	21700	14466
300	21760	14386
301	21831	14313
302	21923	14253
303	22001	14185
304	22073	14112
305	22139	14036
306	22207	13961
307	22286	13892
308	22353	13817
309	22433	13749
310	22509	13679
311	22589	13611
312	22678	13548
313	22760	13482
314	22835	13411
315	22908	13339
316	22980	13266
317	23056	13196
318	23124	13120
319	23196	13048
320	23274	12978
321	23347	12906
322	23426	12837
323	23501	12766
324	23571	12692
325	23640	12617
326	23707	12542
